EXAM CD|ELG PRD|PRT NO|MEMBER NO|MEMBER TYP|P/F/V/B|APP CAT|FEES|ELECT SUB|MED_CD|REMARK|SUB CD|
508|123|1|510015098|O|P||-1|||You have already passed this exam||
508|123|1|510015586|O|P||-1|||You have already passed this exam||
508|123|1|510016042|O|P||-1|||You have already passed this exam||
508|123|1|510016272|O|P||-1|||You have already passed this exam||
508|123|1|510016309|O|P||-1|||You have already passed this exam||
508|123|1|510017094|O|P||-1|||You have already passed this exam||
508|123|1|510017461|O|P||-1|||You have already passed this exam||
508|123|1|510017797|O|P||-1|||You have already passed this exam||
508|123|1|510018069|O|P||-1|||You have already passed this exam||
508|123|1|510019664|O|P||-1|||You have already passed this exam||
508|123|1|510020144|O|P||-1|||You have already passed this exam||
508|123|1|510020209|O|P||-1|||You have already passed this exam||
508|123|1|510020996|O|P||-1|||You have already passed this exam||
508|123|1|510021451|O|P||-1|||You have already passed this exam||
508|123|1|510021678|O|P||-1|||You have already passed this exam||
508|123|1|510022558|O|P||-1|||You have already passed this exam||
508|123|1|510023309|O|P||-1|||You have already passed this exam||
508|123|1|510023656|O|P||-1|||You have already passed this exam||
508|123|1|510027399|O|P||-1|||You have already passed this exam||
508|123|1|510028065|O|P||-1|||You have already passed this exam||
508|123|1|510028144|O|P||-1|||You have already passed this exam||
508|123|1|510028743|O|P||-1|||You have already passed this exam||
508|123|1|510028761|O|P||-1|||You have already passed this exam||
508|123|1|510028946|O|P||-1|||You have already passed this exam||
508|123|1|510029637|O|P||-1|||You have already passed this exam||
508|123|1|510029925|O|P||-1|||You have already passed this exam||
508|123|1|510030355|O|P||-1|||You have already passed this exam||
508|123|1|510030611|O|P||-1|||You have already passed this exam||
508|123|1|510030790|O|P||-1|||You have already passed this exam||
508|123|1|510031105|O|P||-1|||You have already passed this exam||
508|123|1|510031733|O|P||-1|||You have already passed this exam||
508|123|1|510031760|O|P||-1|||You have already passed this exam||
508|123|1|510032060|O|P||-1|||You have already passed this exam||
508|123|1|510032361|O|P||-1|||You have already passed this exam||
508|123|1|510032925|O|P||-1|||You have already passed this exam||
508|123|1|510032930|O|P||-1|||You have already passed this exam||
508|123|1|510033403|O|P||-1|||You have already passed this exam||
508|123|1|510033933|O|P||-1|||You have already passed this exam||
508|123|1|510034310|O|P||-1|||You have already passed this exam||
508|123|1|510035657|O|P||-1|||You have already passed this exam||
